id,description
48634,"Big Save - Avail 7% Discount on all products (On order of Rs.3000+. Max. 12 times per user. Max. Rs.500 discount can be availed. Not on Oils & Ghee, Baby Foods, Feeding bottles, Aashirvaad and Pillsbury Atta, Amul & Waghbakri)"
48635,Get Up To 20% OFF on 500 Ml VIM Gel Bottle
48636,"Big Save - 4% Discount on spending minimum Rs.1500 (Max. 12 times per user. Maximum discount of Rs.500 will be applicable. Not on Oils & Ghee, Baby Foods, Feeding bottles, Aashirvaad and Pillsbury Atta, Amul & Waghbakri)"
48637,"Dedicated Servers Starting at just Rs.7,699 Per Month"
48638,45% discount on VPS Hosting
48639,Combo Gifts Rs.199 onwards
48640,Rakhi With Dry Fruits Starting for Rs.399
48641,Rakhi Gifts For Sister Starting @ just Rs.249
48642,Rakhi With Chocolates Starts for Rs.399
48643,Personalized Rakhi Gifts Starts at Rs.299 only
48644,Rakhi With Sweets Starts @ Rs.399
48645,Cinemad Day Offer - Avail 100% cash-back on 2nd tickets (On Payment via MyWallet only. only on new registrations. Max. cashback of Rs.120)
48646,Get 15% Cashback on purchase using SBI Buddy wallet only (Max. Rs.50 cashback will be applied)
48647,Get 30% Off on Mason Jars
48648,Avail Flat Rs.600 off on Classic Chumbak Owl
48649,Get 30% Off on Dining Crockery
48650,Flat 30% OFF on HandBags
48651,Avail Flat 30% Off on Sling Bags
48652,Get Flat 30% Discount on Wallet
48653,Avail 30% OFF on Lunch Box & Lunch Bag
48654,Flat 30% Discount on Home & Decor
48655,Up To 50% off on Designer Cushions Cover
48656,Get Flat 30% Off on Designer Cushions Cover
48657,Get 30% Discount on Footwear For Women
48658,Up To 20% discount + Free Shipping on products listed at landing page.
48659,"Up to Rs.2000 off on Activities, Flights & Hotels (For  American Express Card users only. only on Tuesday)"
48660,Get Rs.700 Cash back on  Domestic Roundtrip Flights (On Payment via SimplyCLICK SBI Card Credit Cards only)
48661,Avail Up to Rs.1200 discount on Domestic Flights (On Payment via HSBC Bank Credit Cards only)
48662,Get Up to 50% discount on NH7 Weekender Early Bird Sales
48663,Evening Relaxwear Apparels Starting for just Rs.299
48664,Nightwear Offer All products under Rs.399
48665,Nightwear Offer Everything under Rs.499
48666,Everyday Bras at Rs.99 only
48667,Nightwear Offer Max. price of Rs.299
48668,Panties Offer Rs.79 only
48669,Pajamas Offer Starts @ Rs.299
48670,Nightwear Offer All products under Rs.599
48671,Get Up To 70% Discount on Shorts
48672,Designer Lehengas Everything under Rs.1499
48673,Home Decor Products Starting from just Rs.349
48674,Ethnic Fashion Apparels Starting @ Rs.370
48675,Ready For School - Get Upto Rs.23000 off on MacBook
48676,Skullcandy Grind Bluetooth Headphones for just Rs.5499
48677,Deal Of The Day - Lenovo Laptop Rs.20490 only
48678,HP Notebook for Rs.34990 only
48679,Acer Notebook Aspire ES1-521 just Rs.21999
48680,"Good Life Fest - 8 Lucky Customers Win A Car on Washing MAchine, Air Purifier And More"
48681,The Lowest Price Challenges on Best Buy At Croma
48682,SuperPro Laptops Starts @ Rs.53190
48683,Best Reboxed Deals on products listed at landing page
48684,Get 7% off on products listed at landing page (Max. discount of Rs.3000)
48685,Get Upto 50% off on Men's Shoes
48686,Up to 30% OFF on Women's Shoes
48687,"Get Upto 40% Off on Men's activewear, shoes and accessories"
48688,"Up To 50% OFF on Michael Kors, Coach, Mario Valentino & More Brand Handbags"
48689,Blindfold Sale - lenovo-G50-45 Offer just Rs.20490
48690,Blindfold Sale - Avail Rs.3000 Points Back + Extra 5% Cash Back on Koryo 39 inches HD Ready LED TV (Extra Cashback on Payment via ICICI Credit/Debit Cards only. Max. cashback of Rs.1500)
48691,Blindfold Sale - Flat Rs.3000 Point Back + Additional 5% Cash Back on LG Fully Automatic Washing Machine (Extra Cashback on Payment via ICICI Credit/Debit Cards only. Max. Rs.1500 cashback will be applied)
